id,title,chanel,Total_Minutes,Total_Views,Duration_in_Seconds,video_url,Views_per_Second,Year,Quarter,Month,Day,Calculated_Views,Cluster,ClusterLabel,Decision Path
104,بررسی آیفون ۱۶ | iPhone 16 Review,تستر موبایل,20160,1900,1337,/v/nnl2r8n,1.4210919970082274,2025,Qtr 1,February,21,1900,0,Medium Engagement,2
105,بررسی هندزفری انکر لیبرتی۴ پرو | Anker Liberty4 Pro Review,تستر موبایل,30240,326,1306,/v/pbe20b0,0.2496171516079632,2025,Qtr 1,February,14,326,0,Medium Engagement,2
106,بررسی گوشی شیائومی ۱۴تی پرو | Xiaomi 14T Pro Review,تستر موبایل,43200,749,1607,/v/zut6pi8,0.4660858742999377,2025,Qtr 1,February,5,749,0,Medium Engagement,2
107,سپر و گلگیر عقب هم ساخته شد,بنیامین بی ای,1380,1300,1321,/v/rxg6gzq,0.9841029523088568,2025,Qtr 1,March,6,1300,0,Medium Engagement,2
108,از اختراعات مناطق محروم,بنیامین بی ای,1440,2600,1292,/v/xcf2c9e,2.0123839009287927,2025,Qtr 1,March,6,2600,0,Medium Engagement,2
109,کابین پراید در حال نو شدن,بنیامین بی ای,5760,5500,1677,/v/juz1d3i,3.279666070363745,2025,Qtr 1,March,3,5500,0,Medium Engagement,2
110,وسایل عجیب برای تسلا,بنیامین بی ای,2880,4500,1592,/v/kyny08k,2.8266331658291457,2025,Qtr 1,March,5,4500,0,Medium Engagement,2
112,کیک سیب و دارچین | طرز تهیه کیک,آشپزی با فرزانه پناهی,4320,449,718,/v/qir1uv8,0.6253481894150418,2025,Qtr 1,March,4,449,0,Medium Engagement,2
114,سوپ دال عدس | طرز تهیه سوپ دال عدس,آشپزی با فرزانه پناهی,10080,1300,411,/v/jlnr2e6,3.1630170316301705,2025,Qtr 1,February,28,1300,0,Medium Engagement,2
115,بال و کتف کبابی | طرز تهیه کتف و بال کبابی,آشپزی با فرزانه پناهی,2880,456,425,/v/fed4btm,1.0729411764705885,2025,Qtr 1,March,5,456,0,Medium Engagement,2
116,شیر برنج | طرز تهیه شیر برنج ساده و فوری,آشپزی با فرزانه پناهی,10080,1400,395,/v/anv0157,3.5443037974683542,2025,Qtr 1,February,28,1400,0,Medium Engagement,2
118,کمپینگ بقا و ساخت کلبه چوبی در جنگل,کمپینگ شمالی,10080,5300,596,/v/xxsz049,8.89261744966443,2025,Qtr 1,February,28,5300,0,Medium Engagement,2
119,کمپینگ ۴ روزه و ساخت کلبه در جنگل,کمپینگ شمالی,30240,3400,1199,/v/dkpuyqx,2.835696413678065,2025,Qtr 1,February,14,3400,0,Medium Engagement,2
120,ساخت کلبه چوبی در جنگل و کباب,کمپینگ شمالی,43200,10700,345,/v/trq9wmm,31.014492753623188,2025,Qtr 1,February,5,10700,0,Medium Engagement,2
121,ساخت کلبه جنگلی و صید و کباب ماهی,کمپینگ شمالی,43200,3200,402,/v/dsnb728,7.960199004975125,2025,Qtr 1,February,5,3200,0,Medium Engagement,2
123,ستمکار رهایی نمی یابد. |  قسمت نود و چهار,انسانم آرزوست,8640,1200,49,/v/bra1xzc,24.489795918367346,2025,Qtr 1,March,1,1200,0,Medium Engagement,2
124,رزش مرد به اندازه همت اوست. | قسمت نود و سه,انسانم آرزوست,10080,987,40,/v/ojv2uee,24.675,2025,Qtr 1,February,28,987,0,Medium Engagement,2
125,ما را در این خانه نمی گذازند. | قسمت نود و دو,انسانم آرزوست,10080,109,62,/v/pzhw3k4,1.7580645161290325,2025,Qtr 1,February,28,109,0,Medium Engagement,2
126,ستم، مردم را به سوی جلای وطن می برد.| قسمت نود و یکم,انسانم آرزوست,20160,332,43,/v/saew17h,7.72093023255814,2025,Qtr 1,February,21,332,0,Medium Engagement,2
127,سفر به قشم | قسمت دوم,دوربین.نت,5760,344,606,/v/ogz6xtp,0.5676567656765676,2025,Qtr 1,March,3,344,0,Medium Engagement,2
128,ولاگ ابرانگردی | اتاق حجله موزه ناخدا,دوربین.نت,10080,913,267,/v/yba8efb,3.419475655430712,2025,Qtr 1,February,28,913,0,Medium Engagement,2
129,سفر به قشم | قسمت اول,دوربین.نت,10080,2300,525,/v/wpb3rod,4.380952380952381,2025,Qtr 1,February,28,2300,0,Medium Engagement,2
130,ولاگ ایرانگردی | خانه مشروطیت,دوربین.نت,20160,1100,443,/v/rqa22bi,2.4830699774266365,2025,Qtr 1,February,21,1100,0,Medium Engagement,2
